Cleaned Text,Stemmed Tokens,Tweet ID
"RT : I understand fans want to win, but why do I keep seeing “mediocrity” and comparisons to blue blood programs? 

There’s a r…","['rt', ':', 'i', 'understand', 'fan', 'want', 'win', ',', 'i', 'keep', 'see', '“', 'mediocr', '”', 'comparison', 'blue', 'blood', 'program', '?', 'there', '’', 's', 'r…']",1067596390484910080
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,"['rt', ':', 'lot', 'confus', 're', 'big', '12', ""'s"", 'slot', 'sugar', 'bowl', '.', 'but', '#', 'wvu', 'offici', 'tell', 'next', 'week', ""'s"", 'cfp', 'rank', ""won't…""]",1067595785146118145
"I believe #WVU has made a good case for the Valero Alamo Bowl in San Antonio, Texas, which would be against number… ","['i', 'believ', '#', 'wvu', 'made', 'good', 'case', 'valero', 'alamo', 'bowl', 'san', 'antonio', ',', 'texa', ',', 'number…']",1067595161981644800
"RT : Jalen Bridges, the #3 recruit of the 2020 class in WV, told me earlier this evening he recently went on a visit to Cincinn…","['rt', ':', 'jalen', 'bridg', ',', '#', '3', 'recruit', '2020', 'class', 'wv', ',', 'told', 'earlier', 'even', 'recent', 'went', 'visit', 'cincinn…']",1067594925280305152
RT : #WVUFootball shows up ranked 16th in this Week's College Football Top 25 Rankings. #WVU,"['rt', ':', '#', 'wvufootbal', 'show', 'rank', '16th', 'week', ""'s"", 'colleg', 'footbal', 'top', '25', 'rank', '.', '#', 'wvu']",1067594631251181569
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067594481053171712
RT @bradhowe07: NEW EPISODE: The disappointment from Friday’s loss to Oklahoma will linger within Mountaineer Nation for a long time. We di…,"['rt', '@', 'bradhowe07', ':', 'new', 'episod', ':', 'the', 'disappoint', 'friday', '’', 's', 'loss', 'oklahoma', 'will', 'linger', 'within', 'mountain', 'nation', 'long', 'time', '.', 'we', 'di…']",1067594041246781440
#WVU now No. 16 in new #CFBPlayoff rankings after loss to OU. ,"['#', 'wvu', 'now', 'no', '.', '16', 'new', '#', 'cfbplayoff', 'rank', 'loss', 'ou', '.']",1067594025560088576
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,"['rt', ':', 'lot', 'confus', 're', 'big', '12', ""'s"", 'slot', 'sugar', 'bowl', '.', 'but', '#', 'wvu', 'offici', 'tell', 'next', 'week', ""'s"", 'cfp', 'rank', ""won't…""]",1067593749562368000
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067593589230841856
"RT : .@WVUfootball is No. 16 in the #CFBPlayoff rankings. 

#WVU will learn its bowl fate next week. The result of the …","['rt', ':', '.', '@', 'wvufootbal', 'no', '.', '16', '#', 'cfbplayoff', 'rank', '.', '#', 'wvu', 'will', 'learn', 'bowl', 'fate', 'next', 'week', '.', 'the', 'result', '…']",1067593496020832261
RT @rivalskeenan: #WVU DL commit Jalen Thornton. ,"['rt', '@', 'rivalskeenan', ':', '#', 'wvu', 'dl', 'commit', 'jalen', 'thornton', '.']",1067593132009811968
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,"['rt', ':', 'lot', 'confus', 're', 'big', '12', ""'s"", 'slot', 'sugar', 'bowl', '.', 'but', '#', 'wvu', 'offici', 'tell', 'next', 'week', ""'s"", 'cfp', 'rank', ""won't…""]",1067592829285863425
RT : Senior highlights of #WVU commit Winston Wright will definitely leave you impressed.... ,"['rt', ':', 'senior', 'highlight', '#', 'wvu', 'commit', 'winston', 'wright', 'will', 'definit', 'leav', 'impress', '...', '.']",1067592696854917121
RT @concussconnect: Asking a concussed player if he can play is like asking a drunk driver if he can drive. The player will always want to…,"['rt', '@', 'concussconnect', ':', 'ask', 'concuss', 'player', 'can', 'play', 'like', 'ask', 'drunk', 'driver', 'can', 'drive', '.', 'the', 'player', 'will', 'alway', 'want', 'to…']",1067591804147650560
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067591798074343424
"RT : GREAT NEW EPISODE TOMORROW!

What’s John’s life like in Argentina? What did they think about the #WVU football game? How…","['rt', ':', 'great', 'new', 'episod', 'tomorrow', '!', 'what', '’', 's', 'john', '’', 's', 'life', 'like', 'argentina', '?', 'what', 'think', '#', 'wvu', 'footbal', 'game', '?', 'how…']",1067591015807295488
"RT : I understand fans want to win, but why do I keep seeing “mediocrity” and comparisons to blue blood programs? 

There’s a r…","['rt', ':', 'i', 'understand', 'fan', 'want', 'win', ',', 'i', 'keep', 'see', '“', 'mediocr', '”', 'comparison', 'blue', 'blood', 'program', '?', 'there', '’', 's', 'r…']",1067590992398860291
"GREAT NEW EPISODE TOMORROW!

What’s John’s life like in Argentina? What did they think about the #WVU football game… ","['great', 'new', 'episod', 'tomorrow', '!', 'what', '’', 's', 'john', '’', 's', 'life', 'like', 'argentina', '?', 'what', 'think', '#', 'wvu', 'footbal', 'game…']",1067590535492378624
Big win by Oklahoma over Texas could mean Sugar Bowl for #WVU ,"['big', 'win', 'oklahoma', 'texa', 'mean', 'sugar', 'bowl', '#', 'wvu']",1067590337890263042
