Tweet ID,Username,Text,Number of Retweets,Number of Likes
1067576481252077573,PSaltsgaver,"b""RT @weekley: West Virginia was in contention for the Big 12 championship most of the season, but fell short after last Friday's loss to the\xe2\x80\xa6""",6,0
1067576033824686080,CoachHypedola,"b'RT @DVNCallihan: I understand fans want to win, but why do I keep seeing \xe2\x80\x9cmediocrity\xe2\x80\x9d and comparisons to blue blood programs? \n\nThere\xe2\x80\x99s a r\xe2\x80\xa6'",6,0
1067576017957658624,BlairJ44,"b'RT @GoldAndBlueZone: So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank\xe2\x80\xa6'",14,0
1067575073786273793,BennyVelinos,"b""Cheeesin' \xf0\x9f\x98\x81 #westvirginia #morgantown #bennyspizza #wvu #bennyvelinos #pizza https://t.co/k0lnHdOE0K""",1,1
1067575045160079360,goldylocks27,b'#WVU falls three spots to No. 16 after a 59-56 loss to now No. 5 Oklahoma. There will likely be no Big 12 champions\xe2\x80\xa6 https://t.co/HQ4ctTWZeg',0,0
1067574783725002753,Jeff_A_Martin,"b'RT @Torensborg: David Hardesty is a great West Virginian, was a great President of the University and is a role model for all who look at h\xe2\x80\xa6'",4,0
1067574629450096641,GoldAndBlueZone,"b'So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest r\xe2\x80\xa6 https://t.co/OGh5590sWj'",14,81
1067573435444936705,beckaayee,b'RT @PatrickKotnik: #WVU drops from No. 13 to No. 16 in the latest #CFBPlayoff rankings.',1,0
1067573322496569344,NaturaleeU,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067573123749474304,FSUmoonman,b'RT @RivalsFriedman: New #CFBPlayoff Rankings\n7. #Michigan\n8. #UCF\n9. #UF\n10. #LSU\n11. #UDub\n12. #PSU\n13. #Wazzu\n14. #Texas\n15. #UK\n16. #WVU\xe2\x80\xa6',6,0
